word,gender,race
photofinishing,0.238316208,-0.291746641
homophone,0.060324826,0.099353322
trollers,-0.121880065,0.165784832
bitchery,0.644348691,-0.063979527
dickey,-0.112479741,0.245149912
gastrique,0.176997017,0.326866549
sweetner,-0.15267423,0.035861258
tempter,-0.267747164,-0.077415227
jocular,-0.197730956,-0.061420345
rediscovery,-0.095623987,-0.358285349
fennel,0.287371561,0.302175191
tempted,-0.312155592,-0.219449776
cheaply,-0.511507293,0.55085244
prefatory,0.158435532,0.114638448
hounded,-0.091734198,0.104644327
apace,0.007623467,0.184009406
kts,0.085183958,0.395061728
bastardry,-0.143273906,0.0111699
kinase,0.140868412,0.308641975
rico,0.005966192,0.10111699
midshipmen,-0.097893031,0.118753674
statehouse,0.146171694,-0.146513116
bliss,0.24560822,0.069958848
rick,-0.423338736,0.349206349
rich,-0.068071313,-0.194497761
cashout,-0.051215559,0.356848912
rice,-0.025931929,-0.21753039
critisised,-0.208427877,0.176366843
puckery,0.17003646,0.422692534
plate,-0.038897893,0.153439153
remotest,-0.210372771,-0.259117083
waaaaaay,0.010606563,0.039976484
umbilical,0.046072257,0.074661964
traumatising,0.35962877,-0.484964811
unshelled,0.104739808,0.102292769
photoelectric,0.082532317,0.399764844
altogether,-0.033387358,-0.007677543
chyron,0.203181969,0.013521458
uncleanliness,0.09579052,-0.265515035
leasers,0.217103083,0.176366843
humidification,0.102088167,0.290417402
superfamily,0.018561485,0.07877719
stoically,-0.213290113,0.064079953
jaguar,0.065628107,-0.415227127
polytrack,0.089824329,0.155202822
rectal,0.116340736,-0.114523353
patch,-0.106645057,0.059964727
rowhouse,0.233344382,-0.616762636
eyelids,0.204176334,-0.190658989
dabbawallahs,-0.094003241,0.180482069
mammon,-0.261264182,-0.094049904
unpatched,0.012595293,-0.029430582
programmatic,0.273450447,-0.083173385
oppposition,-0.116693679,0.014697237
heirloom,0.256214783,-0.19321817
rootstock,-0.094975689,-0.163787588
pinot,0.115014915,0.469135802
disorganise,-0.419124797,-0.463851567
rubout,-0.13808752,-0.150351887
edgiest,0.120318197,-0.187460013
deadpan,-0.237925446,0.009994121
irs,0.253563142,-0.204734485
rugger,-0.249594814,0.0111699
drover,-0.021393841,0.271604938
hardboard,0.047729533,0.12345679
xvi,0.264832615,0.106407995
loth,-0.267747164,0.04526749
timesheets,-0.075526742,0.644326867
cinacalcet,0.147828969,0.273956496
ira,0.019224395,0.149911817
imprimatur,-0.210048622,0.047619048
offertory,0.159098442,-0.181701855
ire,-0.251863857,-0.079974408
overfed,0.116009281,-0.185540627
redistricting,0.137222406,0.186360964
preservationists,0.209811071,-0.350607806
basswood,0.122638382,-0.020473448
geht,-0.022042139,0.403292181
lewisite,-0.063209076,0.248677249
extent,-0.278444084,-0.127959053
wheelbarrow,-0.163371151,-0.161868202
rgt,0.024859132,0.002351558
trapline,-0.045705024,0.140505585
flathead,-0.158184765,0.132863022
tyranny,0.039774611,-0.220089571
airflow,-0.078119935,0.196942975
veep,0.070931389,0.175778954
voyeuristic,0.364600597,-0.331413948
sleepiest,-0.024959481,0.25867137
peristalsis,0.010606563,0.35978836
antipoverty,0.071594299,-0.404350608
crats,-0.195786062,0.233392122
narcoterrorists,-0.11280389,-0.174664107
finfish,-0.121880065,0.199294533
lookin,0.018561485,-0.218170186
eruv,0.106728538,0.253968254
southeastern,0.211136891,-0.017274472
eradicate,0.013258204,-0.364043506
rehash,0.055684455,0.084656085
mortified,0.32184289,-0.26487524
wherabouts,0.019887305,-0.096609085
gopher,-0.46191248,0.006466784
nonobese,0.1889294,0.098765432
unhealed,0.146171694,-0.574536148
fissures,0.087504143,-0.069737684
raincheck,-0.056077796,0.148148148
niya,0.232350017,-0.03646833
basque,0.451773285,0.211052322
unbuilt,-0.076175041,0.007642563
blonde,0.711302618,0.251616696
boxier,0.025190587,0.355673133
smackdown,-0.099837925,0.281599059
godhead,-0.210048622,-0.070377479
soundalike,0.032814054,0.332745444
fra,0.043089161,0.436801881
underdone,-0.123824959,0.072898295
milquetoast,-0.016207455,0.042915932
fre,0.07424594,0.310405644
union,-0.222366288,0.155202822
onomatopoeia,0.106397083,0.052910053
fro,-0.123176661,0.202821869
cue,-0.046677472,0.047031158
frm,0.042426251,-0.260396673
muck,-0.202917342,0.047619048
much,-0.292382496,0.052910053
sommelier,-0.055753647,0.300999412
wiseguy,-0.484927066,-0.101087652
progenitor,-0.172123177,0.072898295
dehumanised,0.174013921,-0.418426104
unleavened,0.212131256,0.340388007
tallest,-0.161426256,-0.016634677
sensationalized,0.073251574,-0.476647473
spit,-0.26904376,-0.065259117
nothwithstanding,-0.185089141,0.174015285
barque,-0.076175041,0.191651969
jeou,0.03646006,-0.445297505
freehold,-0.047001621,0.001175779
boardroom,0.09380179,0.063492063
sycophants,-0.3636953,-0.286628279
phlox,0.291680477,0.308641975
stepdad,-0.091734198,0.113462669
spin,-0.192544571,-0.133077415
wildcat,-0.228525122,-0.086372361
participatory,0.159429897,-0.488163788
misconstrued,-0.031442464,-0.484964811
droppin,-0.034683955,-0.350607806
blowpipe,-0.05445705,-0.227767115
prostrate,-0.266774716,0.175778954
kidz,0.055021545,-0.348048624
kumbaya,0.028173682,-0.030710173
trabectedin,0.165064634,0.418577307
riparian,0.113689095,-0.051183621
crosier,-0.288492707,0.037037037
verger,0.089824329,-0.05950096
kohl,0.553861452,-0.408189379
hypoplasia,0.30294995,0.009406232
eighteen,-0.060615883,-0.126039667
anhedonia,0.238316208,0.23633157
noncompetitive,-0.059643436,-0.206014075
conditioner,0.03712297,-0.10940499
breakfast,-0.039546191,0.166372722
bricklayer,-0.389627229,0.092886537
hong,0.103413987,-0.002559181
memoriam,0.053032814,-0.390275112
bearhug,-0.447001621,0.239271017
malefactors,-0.395461912,-0.117722329
portobello,-0.088492707,0.504997061
mummified,-0.00713128,-0.197056942
pedestrianise,0.065628107,-0.005758157
statemate,0.203844879,-0.164427383
split,0.143851508,0.10111699
fireweed,0.115014915,0.365667255
geta,-0.061588331,0.39271017
effortlessly,-0.037601297,0.330393886
myocardial,-0.088816856,0.245149912
inadvertently,-0.202593193,-0.26487524
rapidfire,-0.194489465,-0.387715931
workforce,0.307590322,0.13521458
fioricet,0.125952933,0.295120517
boiler,0.059330461,0.212228101
supper,0.067285383,0.042915932
staphylococci,0.179648658,0.215167549
featherweight,0.048392443,0.209876543
furlough,0.066291018,-0.209852847
radionuclides,0.13158767,0.611992945
peremptory,0.083195227,-0.069097889
noblewoman,0.382499171,-0.046065259
kaming,0.2833941,0.094062316
academic,0.118660921,-0.13243762
bata,0.253894597,-0.355086372
academia,0.199535963,0.215167549
cineastes,-0.035332253,-0.07165707
corporate,0.213457077,0.144032922
plaque,-0.186385737,-0.149072297
outlived,0.143851508,-0.007037748
gigolo,0.100099437,-0.104286628
haberdashery,0.200530328,-0.201535509
micropower,-0.102755267,0.46031746
hushpuppies,-0.117666126,0.365079365
maketh,0.011269473,-0.078055022
lassi,0.087504143,0.235155791
portrayed,0.117003646,-0.273192578
lasso,0.0391117,-0.378119002
hah,-0.145867099,0.201646091
hai,0.098773616,0.181657848
haj,0.148823334,-0.321817019
hak,0.004971826,-0.044145873
hal,-0.323824959,0.434450323
ham,-0.176985413,0.121105232
han,-0.045056726,0.156378601
hao,0.008286377,-0.008317338
haa,-0.054132901,0.099941211
