word,gender,religion,race,age,economic
around,-0.026,-0.0078,0.0308,0.0111,0.0292
police,-0.0568,0.1023,0.045,0.001,0.0039
want,-0.0389,0.0205,0.032,0.0079,-0.0372
based,0.0311,0.0081,0.0246,0.0189,0.0335
got,-0.0929,0.0028,-0.0011,-0.072,-0.0169
third,-0.0715,-0.0243,-0.0035,-0.0885,-0.0047
school,0.0319,-0.0329,0.0301,0.0106,0.1098
left,-0.0757,-0.0605,0.0322,-0.073,0.0763
another,-0.0638,-0.0286,0.0537,-0.0663,-0.0123
country,-0.062,-0.0105,-0.0139,-0.0002,0.1512
need,-0.0114,-0.0107,0.0009,-0.023,0.0268
best,-0.0568,-0.0883,0.0115,-0.0496,-0.0358
win,-0.0488,-0.0795,0.0243,-0.0337,-0.0312
quarter,-0.0357,0.0014,-0.0194,-0.0123,0.0106
use,-0.0081,0.0353,0.0275,0.0065,-0.0249
today,-0.0555,-0.0542,0.0398,-0.0063,-0.018
same,-0.0856,-0.0429,0.0645,-0.0297,-0.0136
public,0.0578,0.0096,0.0282,0.0702,0.0048
run,-0.0704,-0.0225,-0.0289,-0.0561,-0.0178
set,-0.0094,-0.0316,0.0036,-0.0589,-0.0273
month,-0.003,0.0424,0.0071,-0.0135,-0.0233
top,-0.0514,-0.0037,0.0453,-0.08,-0.1009
billion,-0.0081,0.056,0.0445,0.0134,0.0309
come,-0.0053,-0.0856,0.0162,-0.0252,0.0056
city,0.0121,0.0331,-0.0089,0.0509,0.0384
place,0.0153,-0.0124,-0.0201,-0.0442,-0.0297
night,-0.0159,-0.0151,-0.0095,0.0012,-0.0198
six,-0.0376,-0.0245,0.0238,-0.0633,-0.0059
each,0.0138,-0.0155,0.0476,-0.0341,-0.0432
here,-0.0705,-0.0179,0.0275,0.0339,-0.0057
group,-0.0253,-0.0173,0.0459,-0.0235,0.0323
really,0.0025,-0.0946,0.004,-0.0578,-0.0366
found,0.0226,-0.0157,0.0203,-0.0059,0.0222
used,-0.0195,0.027,0.0144,0.0089,-0.0062
lot,-0.0362,-0.095,-0.0174,-0.0017,-0.0444
money,0.004,-0.015,-0.0195,0.043,0.0699
put,-0.042,-0.0486,-0.0108,-0.0016,0.0214
games,-0.071,-0.0987,0.0208,-0.0638,0.007
support,0.003,-0.0593,0.0365,0.0233,0.0545
program,-0.003,-0.0497,-0.0258,0.0422,0.1144
half,-0.0257,-0.0132,0.0016,-0.004,0.0126
report,0.0159,0.0347,0.028,-0.0132,0.044
family,0.0029,0.0148,0.0457,0.01,0.011
months,0.0124,0.0404,0.0403,-0.0157,0.0221
number,-0.0211,0.0034,0.0177,-0.0115,0.0196
officials,0.0011,0.0573,-0.0184,0.0722,0.0014
am,0.002,-0.0367,0.0554,-0.0075,0.0189
former,-0.2001,-0.0383,0.034,0.0597,-0.0399
own,-0.0224,-0.0887,-0.0164,-0.0289,-0.0093
man,-0.1989,0.0289,0.0565,-0.0205,0.0461
too,-0.0266,-0.0332,0.0175,0.0184,0.017
better,-0.0674,-0.052,0.0055,-0.0124,0.0207
days,-0.0445,0.0183,0.0289,0.0059,-0.008
came,-0.0477,-0.0298,0.0263,-0.0369,0.0072
lead,-0.0344,-0.0543,-0.0109,-0.0891,-0.0545
life,0.0261,-0.1208,-0.0065,0.0018,0.0539
show,0.0596,-0.0298,-0.045,-0.0243,-0.0193
past,-0.0635,-0.046,-0.004,-0.002,0.014
took,-0.0732,0.0426,-0.0085,-0.0289,0.016
added,-0.0518,0.019,0.0463,-0.1009,-0.0965
expected,-0.0547,0.0315,0.0477,0.0198,-0.0348
called,-0.0141,0.016,0.0059,0.0431,0.024
great,-0.0636,-0.0996,0.0024,-0.0508,-0.1495
services,0.0403,-0.0751,0.0106,0.0493,0.0431
children,0.0878,0.0269,0.0248,0.0232,0.2067
hit,-0.0283,-0.0633,0.0128,-0.1096,0.054
area,-0.0276,0.0197,-0.005,0.026,0.0233
system,-0.0417,-0.0253,0.0315,0.0644,0.075
every,-0.0115,-0.0324,0.0329,-0.0128,-0.0036
pm,0.0055,-0.0323,0.0404,-0.0047,-0.0045
big,-0.0538,-0.0711,0.0023,-0.047,-0.1345
service,0.0323,-0.0836,-0.0122,0.0386,0.0164
few,-0.0027,-0.0103,-0.0024,-0.0284,-0.0452
per,0.0164,0.052,0.04,0.0355,0.001
members,-0.0237,0.002,-0.0151,0.0467,-0.02
early,-0.0315,-0.0156,0.0276,0.0407,-0.0074
point,-0.0124,-0.0756,0.0523,-0.0619,0.0343
start,-0.0708,-0.0674,0.0319,-0.0487,0.0244
companies,0.0067,0.0126,0.0826,0.0327,0.0044
little,0.0106,-0.0563,0.0043,-0.0115,-0.0383
case,0.014,0.0072,0.0733,-0.0354,0.0698
ago,-0.061,-0.0322,0.0542,0.0255,0.0685
local,-0.0043,0.0197,0.0007,0.0487,0.0848
according,-0.0141,0.0314,0.0508,0.0338,0.0505
never,-0.0421,-0.0547,-0.0165,0.0305,0.0137
without,-0.0461,0.0336,0.0131,-0.012,0.0793
sales,0.0376,-0.0523,0.0047,0.0243,-0.026
until,-0.001,0.02,0.0574,0.0396,0.0516
