word,gender,religion,race,age,economic
going,-0.932847353,-0.508426588,0.789344887,-0.518875157,0.59793445
my,-0.615560333,0.439630158,0.633008384,-0.734245147,0.873851567
good,-0.95424617,-0.931272752,0.041160188,-0.645036646,0.979670294
should,-0.607027681,0.077558649,-0.170097335,-0.459229047,0.521763211
many,-0.451928245,-0.700080895,0.65876359,-0.281578705,0.517723334
way,-0.956631282,-0.763988135,0.615276608,0.553126618,0.940607285
those,-0.733673744,-0.193238506,0.372928953,-0.578827931,0.917866684
four,-0.838887396,-0.287110692,-0.107467688,-0.625716827,-0.207291181
during,-0.70219699,0.823734815,0.586151563,-0.688736238,-0.265858837
such,0.267692003,0.242610535,-0.856031594,0.47851349,0.227080211
may,-0.210931201,-0.67085749,0.441649617,-0.140145359,0.140907018
very,-0.657652513,-0.38917352,-0.051260571,0.566127826,0.362383528
how,-0.722352862,-0.060873669,0.722790548,-0.42252139,0.821561217
since,-0.826021231,-0.206822165,0.672764472,0.153138123,0.521013879
work,-0.484144047,-0.805244708,0.15132186,-0.352510043,0.770085359
take,-0.766662188,0.587665372,0.215268584,-0.113005612,0.455756825
including,-0.601887933,-0.055211002,-0.283389181,0.22004257,-0.596292269
high,-0.162422736,-0.454429014,0.153969591,-0.164249134,-0.036145202
then,-0.97275598,-0.244977754,0.908693385,-0.954184428,0.913305532
next,-0.851115292,-0.565828502,0.027119188,-0.313318409,-0.534876495
much,-0.770055093,-0.654611029,0.915553416,-0.46750897,-0.073481435
still,-0.919947595,-0.785357961,0.043446865,-0.236131129,0.919886623
go,-0.73740258,0.198691782,0.665021864,-0.768867491,0.778816707
think,-0.903554152,-0.70419307,0.943515064,-0.71032537,0.660487392
old,-0.877015587,-0.138971282,-0.028961225,-0.587199853,0.531504529
even,-0.846882558,-0.561716327,0.690536366,-0.816553712,0.757086075
world,-0.567757323,0.658978016,-0.556247008,0.8590577,-0.3402206
see,-0.508902177,-0.482540111,0.747743411,-0.589959827,0.265882583
say,-0.685030906,0.145231889,0.57046576,-0.78861664,0.684759236
business,-0.328003225,-0.476641499,0.354876239,0.235862624,-0.239138315
five,-0.745397743,0.231249693,-0.156653901,-0.373915177,-0.095955673
told,-0.687819135,0.719913441,-0.181346737,-0.630071453,0.237733759
under,-0.949979844,-0.252359445,-0.823599809,-0.294918581,0.700332313
us,-0.752351518,-0.244135095,0.356922213,-0.753902297,0.722584218
these,0.032688789,0.261348547,0.451839371,-0.372013861,0.919104711
right,-0.941850309,-0.745550762,-0.087202808,-0.813793738,0.919006972
