word,gender,eco,race
sarcastic,-0.0669,-0.0021,-0.0304
bossy,0.1703,-0.03,-0.0443
rude,-0.0138,0.034,-0.0215
boorish,-0.0844,-0.008,0.008
quarrelsome,0.0137,-0.0526,0.0227
arrogant,-0.1615,-0.0391,-0.0149
gregarious,-0.1343,-0.0997,-0.0477
valiant,0.0105,0.1041,-0.029
fearless,-0.0638,0.0219,-0.0691
trusting,-0.0792,-0.028,-0.0264
fair,-0.0541,0.0305,0.0032
reliable,-0.0991,0.028,0.0345
exuberant,-0.0123,0.0107,-0.0582
precise,-0.0747,-0.0804,0.0039
encouraging,-0.0242,0.0877,-0.0609
persistent,-0.0052,0.0618,0.0062
dutiful,0.05,-0.0507,-0.02
optimistic,-0.0797,0.0223,-0.0163
discreet,0.0554,-0.2414,0.0037
observant,-0.0175,-0.1079,-0.0293
dependable,-0.1143,0.042,-0.0011
meticulous,-0.0536,-0.0555,-0.0012
cultured,-0.0539,-0.1674,0.0382
keen,-0.0669,-0.0623,-0.0211
conscientious,-0.0204,-0.0681,-0.0122
independent,0.0062,-0.068,0.019
confident,-0.1038,-0.0259,0.0092
impartial,-0.0122,-0.029,0.0067
charming,0.0387,-0.1179,-0.0356
imaginative,-0.0471,-0.0385,-0.0195
capable,-0.1373,-0.0067,0.0374
humble,-0.1188,-0.0205,-0.0248
affable,-0.2133,-0.0761,-0.0234
helpful,0.034,-0.0438,-0.0001
adventurous,-0.0254,-0.0876,-0.0431
shoot,-0.0625,0.039,-0.0385
resistance,-0.0197,0.1069,0.0467
revolution,-0.0566,0.007,-0.0079
hostile,-0.0725,0.1333,0.0024
missile,-0.0393,0.0461,0.0096
terrorist,-0.0883,-0.0263,0.0072
soldier,-0.0399,0.0333,-0.0155
enemy,-0.1395,0.0481,-0.0036
sacrifice,-0.0585,0.0101,-0.008
guerrilla,-0.0282,0.0886,-0.0099
rocket,-0.0423,0.033,0.0462
militant,-0.0398,0.0951,-0.0191
execution,-0.0661,0.0437,0.0205
acid,0.0568,-0.0357,0.0346
debris,-0.0361,0.0942,-0.0294
hostility,-0.0391,0.0623,0.0186
militia,-0.0965,0.0779,-0.0539
proliferation,0.0119,-0.006,-0.0123
retaliation,-0.0646,0.0824,-0.0198
massacre,-0.0227,0.0692,-0.0195
casualties,-0.0546,0.0761,0.0045
overthrow,-0.1567,0.0932,-0.0748
execute,-0.108,-0.0064,0.0363
slaughter,-0.0112,0.1165,-0.0066
aggression,-0.0832,0.1147,-0.02
wreckage,-0.0336,0.0676,-0.0228
stronghold,-0.0349,0.0453,-0.0061
force,-0.0723,0.1251,-0.0059
fight,-0.0917,0.0412,-0.0125
dead,-0.0461,0.0496,0.0185
strike,-0.1019,0.0873,-0.0192
murder,0.0316,-0.0337,-0.0348
kill,-0.007,-0.0168,0.0139
dangerous,-0.1339,0.1336,-0.0394
conflict,0.0414,0.0688,-0.0496
target,-0.1205,-0.0318,0.0307
bomb,-0.0597,-0.0281,0.0208
injuries,-0.0901,0.1379,0.0146
radical,-0.0456,-0.0275,0.0287
war,0.0061,0.0077,-0.0072
military,-0.0253,0.0548,-0.0054
death,-0.0222,0.0776,-0.0669
attack,-0.0522,0.0337,-0.008
violence,0.0498,0.1317,-0.1077
terrorism,-0.0776,-0.0015,0.0155
terror,-0.0606,-0.0077,0.0407
for,-0.0747,0.1045,0.035
that,-0.1226,-0.0448,0.0285
with,-0.068,0.0684,0.0689
said,-0.0908,0.025,-0.0155
was,-0.0942,0.0865,-0.0073
the,-0.0901,0.0718,0.0131
not,-0.1227,0.0196,-0.0158
from,-0.0468,0.0065,-0.0005
are,-0.0076,-0.0245,0.0162
have,-0.0904,0.0366,0.0511
will,-0.0801,-0.0278,-0.0078
has,-0.0709,0.0397,0.0342
this,-0.0851,-0.0017,-0.0218
their,0.0537,0.0744,0.0107
who,-0.1715,0.034,-0.027
they,-0.0844,0.0125,0.024
but,-0.1427,0.0647,0.0158
had,-0.0981,0.1171,0.0292
year,-0.0445,0.0134,-0.0298
were,-0.04,0.0699,0.0525
more,-0.0589,-0.0607,-0.0171
been,-0.0781,0.0722,0.0066
you,-0.0838,-0.0345,-0.0614
its,0.0963,0.059,-0.0035
one,-0.0976,-0.0197,-0.0037
about,-0.036,-0.0124,-0.0115
would,-0.1462,-0.0107,-0.0286
which,-0.0521,0.0665,0.0466
out,-0.1007,-0.0077,0.0019
can,-0.0844,-0.0449,-0.0073
all,-0.0679,-0.0405,0.0417
also,-0.129,0.0099,0.0175
two,-0.0532,0.0125,0.0237
after,-0.0868,0.1183,0.0167
first,-0.083,0.0927,-0.032
time,-0.0897,-0.0062,0.0024
than,-0.0759,-0.0235,0.0089
when,-0.1358,0.0677,0.0407
over,-0.0894,-0.0109,0.0345
last,-0.1259,0.1242,0.0191
new,-0.03,-0.0735,0.0421
other,-0.0455,-0.0057,0.0267
people,-0.0568,0.064,-0.0223
into,-0.0537,-0.0122,-0.0061
our,0.0008,0.0005,-0.0135
there,-0.0824,0.0078,0.0341
could,-0.1333,0.0206,-0.0142
just,-0.1174,-0.0098,-0.0011
some,-0.0847,0.0382,-0.008
three,-0.0551,0.0355,0.0222
million,-0.0742,0.0052,-0.0254
them,-0.1601,0.0607,0.0073
what,-0.1089,-0.0211,-0.0302
like,-0.092,-0.0205,-0.0158
only,-0.0997,0.0646,0.0121
percent,-0.0009,0.0667,0.0332
get,-0.1151,0.0554,0.0155
did,-0.1464,0.0421,-0.0029
him,-0.3903,0.0912,-0.0512
game,-0.1525,0.0229,0.0369
back,-0.1611,-0.006,-0.0017
because,-0.0783,0.0317,-0.0203
now,-0.0887,-0.0454,0.0463
before,-0.0856,0.0347,0.0496
company,0.0108,-0.0351,0.0076
any,-0.0955,-0.0064,-0.0098
team,-0.202,0.0692,0.0215
against,-0.1153,0.0476,0.0632
off,-0.1017,0.0323,0.0003
most,-0.036,-0.0613,0.0047
made,-0.0242,0.0318,0.0375
through,-0.0294,0.0423,-0.0085
make,-0.0324,0.0007,0.0157
second,-0.0814,0.1063,-0.063
state,0.0005,0.0518,0.0234
well,-0.0947,-0.0087,0.0025
day,-0.0465,0.0268,0.0275
season,-0.1092,0.0818,-0.022
says,0.0064,-0.0456,-0.0125
week,-0.047,-0.0002,0.0149
where,-0.0793,-0.0029,-0.0128
while,-0.0614,0.0861,0.0017
down,-0.0881,0.0478,-0.0208
being,-0.0952,0.0112,0.0221
government,-0.0451,0.0445,0.0286
your,0.0533,-0.0043,-0.0573
home,-0.0342,0.0186,0.0351
going,-0.1415,-0.028,-0.0403
good,-0.1255,0.1322,-0.0211
should,-0.1152,-0.0305,-0.0113
many,-0.028,0.0097,0.0102
way,-0.1337,0.0342,-0.0278
those,-0.0819,0.0181,0.0153
four,-0.0669,0.0332,0.0134
during,-0.0611,0.1079,0.0269
such,0.0071,-0.0327,-0.0103
may,-0.0492,-0.0144,-0.0518
very,-0.0736,-0.049,0.0028
how,-0.0802,0.0249,-0.0205
since,-0.0793,0.1,0.0342
work,-0.0357,0.0526,0.0382
take,-0.0792,0.0218,0.0117
including,-0.0213,0.0364,0.0352
high,-0.0039,0.0086,0.0467
then,-0.1855,0.031,0.0599
next,-0.1139,0.0032,0.0138
much,-0.0902,-0.0231,0.009
still,-0.1014,0.0971,0.0118
think,-0.1449,-0.0306,-0.0479
old,-0.0595,0.0573,-0.0115
even,-0.1243,0.0487,0.0165
world,-0.0266,-0.0155,-0.0186
see,-0.0985,-0.0435,-0.0142
